delta,N,N_source,L_case,L,N_need,purity_p,p_source,success_s,s_source,capacity_c,c_source,A_reachable_arrivals_per_night_cp95_lo,binding,spectra_S,P60_hours_H,wrong_routine_commitments_W,cost_slots,rubin_on_sky_nights,missed_rare_penalty
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.956,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1243 (scanner triggering, restated)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,546,273.0,24,546,69,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.956,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1243 (scanner triggering, restated)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,546,273.0,24,546,55,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.956,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1243 (scanner triggering, restated)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,546,273.0,24,546,55,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.956,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1243 (scanner triggering, restated)",1.0,optimistic bound,4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,508,254.0,23,508,113,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.956,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1243 (scanner triggering, restated)",1.0,optimistic bound,4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,508,254.0,23,508,113,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.956,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1243 (scanner triggering, restated)",1.0,optimistic bound,8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,508,254.0,23,508,64,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.956,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1243 (scanner triggering, restated)",1.0,optimistic bound,8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,508,254.0,23,508,64,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.956,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1243 (scanner triggering, restated)",1.0,optimistic bound,10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,508,254.0,23,508,51,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.956,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1243 (scanner triggering, restated)",1.0,optimistic bound,10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,508,254.0,23,508,51,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.967,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1148-1149 (scanner triggering, 316/327)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,540,270.0,18,540,120,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.967,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1148-1149 (scanner triggering, 316/327)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,540,270.0,18,540,120,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.967,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1148-1149 (scanner triggering, 316/327)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,540,270.0,18,540,68,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.967,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1148-1149 (scanner triggering, 316/327)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,540,270.0,18,540,68,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.967,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1148-1149 (scanner triggering, 316/327)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,540,270.0,18,540,54,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.967,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1148-1149 (scanner triggering, 316/327)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,540,270.0,18,540,54,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.967,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1148-1149 (scanner triggering, 316/327)",1.0,optimistic bound,4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,502,251.0,17,502,112,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.967,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1148-1149 (scanner triggering, 316/327)",1.0,optimistic bound,4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,502,251.0,17,502,112,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.967,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1148-1149 (scanner triggering, 316/327)",1.0,optimistic bound,8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,502,251.0,17,502,63,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.967,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1148-1149 (scanner triggering, 316/327)",1.0,optimistic bound,8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,502,251.0,17,502,63,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.967,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1148-1149 (scanner triggering, 316/327)",1.0,optimistic bound,10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,502,251.0,17,502,51,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.967,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1148-1149 (scanner triggering, 316/327)",1.0,optimistic bound,10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,502,251.0,17,502,51,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,12855,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,17065,8532.5,3242,17065,3793,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=T1 measured non-bot cohort labels,0,12855,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,17065,8532.5,3242,17065,3793,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,12855,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,17065,8532.5,3242,17065,2134,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=T1 measured non-bot cohort labels,0,12855,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,17065,8532.5,3242,17065,2134,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,12855,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,17065,8532.5,3242,17065,1707,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=T1 measured non-bot cohort labels,0,12855,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,17065,8532.5,3242,17065,1707,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,12855,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",1.0,optimistic bound,4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,15871,7935.5,3016,15871,3527,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=T1 measured non-bot cohort labels,0,12855,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",1.0,optimistic bound,4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,15871,7935.5,3016,15871,3527,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,12855,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",1.0,optimistic bound,8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,15871,7935.5,3016,15871,1984,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=T1 measured non-bot cohort labels,0,12855,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",1.0,optimistic bound,8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,15871,7935.5,3016,15871,1984,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,12855,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",1.0,optimistic bound,10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,15871,7935.5,3016,15871,1588,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=T1 measured non-bot cohort labels,0,12855,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",1.0,optimistic bound,10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,15871,7935.5,3016,15871,1588,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,12855,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,16339,8169.5,2516,16339,3631,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=T1 measured non-bot cohort labels,0,12855,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,16339,8169.5,2516,16339,3631,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,12855,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,16339,8169.5,2516,16339,2043,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=T1 measured non-bot cohort labels,0,12855,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,16339,8169.5,2516,16339,2043,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,12855,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,16339,8169.5,2516,16339,1634,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=T1 measured non-bot cohort labels,0,12855,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,16339,8169.5,2516,16339,1634,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,12855,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",1.0,optimistic bound,4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,15196,7598.0,2341,15196,3377,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=T1 measured non-bot cohort labels,0,12855,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",1.0,optimistic bound,4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,15196,7598.0,2341,15196,3377,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,12855,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",1.0,optimistic bound,8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,15196,7598.0,2341,15196,1900,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=T1 measured non-bot cohort labels,0,12855,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",1.0,optimistic bound,8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,15196,7598.0,2341,15196,1900,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,12855,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",1.0,optimistic bound,10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,15196,7598.0,2341,15196,1520,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=T1 measured non-bot cohort labels,0,12855,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",1.0,optimistic bound,10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,15196,7598.0,2341,15196,1520,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,12855,0.92,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1466 (bts_p2 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,15025,7512.5,1202,15025,3339,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=T1 measured non-bot cohort labels,0,12855,0.92,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1466 (bts_p2 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,15025,7512.5,1202,15025,3339,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,12855,0.92,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1466 (bts_p2 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,15025,7512.5,1202,15025,1879,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=T1 measured non-bot cohort labels,0,12855,0.92,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1466 (bts_p2 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,15025,7512.5,1202,15025,1879,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,12855,0.92,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1466 (bts_p2 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,15025,7512.5,1202,15025,1503,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=T1 measured non-bot cohort labels,0,12855,0.92,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1466 (bts_p2 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,15025,7512.5,1202,15025,1503,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,12855,frozen PROCEED (max N_min),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,12855,0.92,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1466 (bts_p2 present-day)",1.0,optimistic bound,4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,13973,6986.5,1118,13973,3106,+100 slots per missed rare event (M UNDEMONSTRATED)
