delta,delta_status,N,L_case,N_need,purity_p,success_s,capacity_c,spectra_S,P60_hours,wrong_routine_commitments,cost_slots,missed_rare_penalty,p60_usable_nights_needed,spectra_per_month_first,p60_nights_per_month_first,rubin_on_sky_nights_per_month_first,return_month_R,months_after_R,completion_month,months_aggregate_Ubar,binding_first_month
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,0.93,8,58,29.0,4,58,+100 slots per missed rare event (M UNDEMONSTRATED),8,186.0,23.2,20.7,2027-08,1,2027-08,0.38,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,0.93,8,58,29.0,4,58,+100 slots per missed rare event (M UNDEMONSTRATED),8,180.0,22.5,20.0,2027-09,1,2027-09,0.38,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,0.93,10,73,36.5,5,73,+100 slots per missed rare event (M UNDEMONSTRATED),8,207.5,20.8,20.7,2026-10,1,2026-10,0.39,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,0.93,10,73,36.5,5,73,+100 slots per missed rare event (M UNDEMONSTRATED),8,185.0,18.5,20.0,2026-11,1,2026-11,0.39,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,0.93,10,73,36.5,5,73,+100 slots per missed rare event (M UNDEMONSTRATED),8,122.5,12.2,20.7,2026-12,1,2026-12,0.39,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,0.93,10,73,36.5,5,73,+100 slots per missed rare event (M UNDEMONSTRATED),8,105.0,10.5,20.7,2027-01,1,2027-01,0.39,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,0.93,10,73,36.5,5,73,+100 slots per missed rare event (M UNDEMONSTRATED),8,131.6,13.2,18.7,2027-02,1,2027-02,0.39,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,0.93,10,73,36.5,5,73,+100 slots per missed rare event (M UNDEMONSTRATED),8,92.5,9.2,20.7,2027-03,1,2027-03,0.39,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,0.93,10,73,36.5,5,73,+100 slots per missed rare event (M UNDEMONSTRATED),8,210.0,21.0,20.0,2027-04,1,2027-04,0.39,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,0.93,10,73,36.5,5,73,+100 slots per missed rare event (M UNDEMONSTRATED),8,230.0,23.0,20.7,2027-05,1,2027-05,0.39,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,0.93,10,73,36.5,5,73,+100 slots per missed rare event (M UNDEMONSTRATED),8,252.5,25.2,20.0,2027-06,1,2027-06,0.39,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,0.93,10,73,36.5,5,73,+100 slots per missed rare event (M UNDEMONSTRATED),8,257.5,25.7,20.7,2027-07,1,2027-07,0.39,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,0.93,10,73,36.5,5,73,+100 slots per missed rare event (M UNDEMONSTRATED),8,232.5,23.2,20.7,2027-08,1,2027-08,0.39,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,0.93,10,73,36.5,5,73,+100 slots per missed rare event (M UNDEMONSTRATED),8,225.0,22.5,20.0,2027-09,1,2027-09,0.39,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,0.93,10,58,29.0,4,58,+100 slots per missed rare event (M UNDEMONSTRATED),6,207.5,20.8,20.7,2026-10,1,2026-10,0.31,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,0.93,10,58,29.0,4,58,+100 slots per missed rare event (M UNDEMONSTRATED),6,185.0,18.5,20.0,2026-11,1,2026-11,0.31,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,0.93,10,58,29.0,4,58,+100 slots per missed rare event (M UNDEMONSTRATED),6,122.5,12.2,20.7,2026-12,1,2026-12,0.31,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,0.93,10,58,29.0,4,58,+100 slots per missed rare event (M UNDEMONSTRATED),6,105.0,10.5,20.7,2027-01,1,2027-01,0.31,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,0.93,10,58,29.0,4,58,+100 slots per missed rare event (M UNDEMONSTRATED),6,131.6,13.2,18.7,2027-02,1,2027-02,0.31,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,0.93,10,58,29.0,4,58,+100 slots per missed rare event (M UNDEMONSTRATED),6,92.5,9.2,20.7,2027-03,1,2027-03,0.31,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,0.93,10,58,29.0,4,58,+100 slots per missed rare event (M UNDEMONSTRATED),6,210.0,21.0,20.0,2027-04,1,2027-04,0.31,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,0.93,10,58,29.0,4,58,+100 slots per missed rare event (M UNDEMONSTRATED),6,230.0,23.0,20.7,2027-05,1,2027-05,0.31,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,0.93,10,58,29.0,4,58,+100 slots per missed rare event (M UNDEMONSTRATED),6,252.5,25.2,20.0,2027-06,1,2027-06,0.31,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,0.93,10,58,29.0,4,58,+100 slots per missed rare event (M UNDEMONSTRATED),6,257.5,25.7,20.7,2027-07,1,2027-07,0.31,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,0.93,10,58,29.0,4,58,+100 slots per missed rare event (M UNDEMONSTRATED),6,232.5,23.2,20.7,2027-08,1,2027-08,0.31,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,0.93,10,58,29.0,4,58,+100 slots per missed rare event (M UNDEMONSTRATED),6,225.0,22.5,20.0,2027-09,1,2027-09,0.31,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,4.5,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),16,93.4,20.8,20.7,2026-10,1,2026-10,0.8,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,4.5,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),16,83.3,18.5,20.0,2026-11,1,2026-11,0.8,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,4.5,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),16,55.1,12.2,20.7,2026-12,2,2027-01,0.8,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,4.5,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),16,47.3,10.5,20.7,2027-01,2,2027-02,0.8,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,4.5,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),16,59.2,13.2,18.7,2027-02,2,2027-03,0.8,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,4.5,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),16,41.6,9.2,20.7,2027-03,2,2027-04,0.8,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,4.5,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),16,94.5,21.0,20.0,2027-04,1,2027-04,0.8,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,4.5,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),16,103.5,23.0,20.7,2027-05,1,2027-05,0.8,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,4.5,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),16,113.6,25.2,20.0,2027-06,1,2027-06,0.8,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,4.5,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),16,115.9,25.7,20.7,2027-07,1,2027-07,0.8,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,4.5,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),16,104.6,23.2,20.7,2027-08,1,2027-08,0.8,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,4.5,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),16,101.2,22.5,20.0,2027-09,1,2027-09,0.8,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,4.5,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),12,93.4,20.8,20.7,2026-10,1,2026-10,0.64,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,4.5,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),12,83.3,18.5,20.0,2026-11,1,2026-11,0.64,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,4.5,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),12,55.1,12.2,20.7,2026-12,1,2026-12,0.64,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,4.5,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),12,47.3,10.5,20.7,2027-01,2,2027-02,0.64,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,4.5,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),12,59.2,13.2,18.7,2027-02,1,2027-02,0.64,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,4.5,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),12,41.6,9.2,20.7,2027-03,2,2027-04,0.64,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,4.5,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),12,94.5,21.0,20.0,2027-04,1,2027-04,0.64,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,4.5,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),12,103.5,23.0,20.7,2027-05,1,2027-05,0.64,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,4.5,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),12,113.6,25.2,20.0,2027-06,1,2027-06,0.64,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,4.5,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),12,115.9,25.7,20.7,2027-07,1,2027-07,0.64,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,4.5,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),12,104.6,23.2,20.7,2027-08,1,2027-08,0.64,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,4.5,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),12,101.2,22.5,20.0,2027-09,1,2027-09,0.64,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,8,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),9,166.0,20.8,20.7,2026-10,1,2026-10,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,8,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),9,148.0,18.5,20.0,2026-11,1,2026-11,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,8,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),9,98.0,12.2,20.7,2026-12,1,2026-12,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,8,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),9,84.0,10.5,20.7,2027-01,1,2027-01,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,8,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),9,105.2,13.2,18.7,2027-02,1,2027-02,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,8,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),9,74.0,9.2,20.7,2027-03,1,2027-03,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,8,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),9,168.0,21.0,20.0,2027-04,1,2027-04,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,8,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),9,184.0,23.0,20.7,2027-05,1,2027-05,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,8,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),9,202.0,25.2,20.0,2027-06,1,2027-06,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,8,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),9,206.0,25.7,20.7,2027-07,1,2027-07,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,8,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),9,186.0,23.2,20.7,2027-08,1,2027-08,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,8,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),9,180.0,22.5,20.0,2027-09,1,2027-09,0.45,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,8,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),7,166.0,20.8,20.7,2026-10,1,2026-10,0.36,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,8,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),7,148.0,18.5,20.0,2026-11,1,2026-11,0.36,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,8,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),7,98.0,12.2,20.7,2026-12,1,2026-12,0.36,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,8,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),7,84.0,10.5,20.7,2027-01,1,2027-01,0.36,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,8,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),7,105.2,13.2,18.7,2027-02,1,2027-02,0.36,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,8,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),7,74.0,9.2,20.7,2027-03,1,2027-03,0.36,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,8,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),7,168.0,21.0,20.0,2027-04,1,2027-04,0.36,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,8,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),7,184.0,23.0,20.7,2027-05,1,2027-05,0.36,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,8,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),7,202.0,25.2,20.0,2027-06,1,2027-06,0.36,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,8,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),7,206.0,25.7,20.7,2027-07,1,2027-07,0.36,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,8,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),7,186.0,23.2,20.7,2027-08,1,2027-08,0.36,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,8,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),7,180.0,22.5,20.0,2027-09,1,2027-09,0.36,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,10,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),7,207.5,20.8,20.7,2026-10,1,2026-10,0.36,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,10,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),7,185.0,18.5,20.0,2026-11,1,2026-11,0.36,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,10,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),7,122.5,12.2,20.7,2026-12,1,2026-12,0.36,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,10,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),7,105.0,10.5,20.7,2027-01,1,2027-01,0.36,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,10,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),7,131.6,13.2,18.7,2027-02,1,2027-02,0.36,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,10,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),7,92.5,9.2,20.7,2027-03,1,2027-03,0.36,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,10,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),7,210.0,21.0,20.0,2027-04,1,2027-04,0.36,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,10,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),7,230.0,23.0,20.7,2027-05,1,2027-05,0.36,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,10,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),7,252.5,25.2,20.0,2027-06,1,2027-06,0.36,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,10,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),7,257.5,25.7,20.7,2027-07,1,2027-07,0.36,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,10,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),7,232.5,23.2,20.7,2027-08,1,2027-08,0.36,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.93,1.0,10,68,34.0,5,68,+100 slots per missed rare event (M UNDEMONSTRATED),7,225.0,22.5,20.0,2027-09,1,2027-09,0.36,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,10,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),6,207.5,20.8,20.7,2026-10,1,2026-10,0.29,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,10,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),6,185.0,18.5,20.0,2026-11,1,2026-11,0.29,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,10,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),6,122.5,12.2,20.7,2026-12,1,2026-12,0.29,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,10,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),6,105.0,10.5,20.7,2027-01,1,2027-01,0.29,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,10,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),6,131.6,13.2,18.7,2027-02,1,2027-02,0.29,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,10,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),6,92.5,9.2,20.7,2027-03,1,2027-03,0.29,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,10,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),6,210.0,21.0,20.0,2027-04,1,2027-04,0.29,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,10,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),6,230.0,23.0,20.7,2027-05,1,2027-05,0.29,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,10,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),6,252.5,25.2,20.0,2027-06,1,2027-06,0.29,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,10,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),6,257.5,25.7,20.7,2027-07,1,2027-07,0.29,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,10,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),6,232.5,23.2,20.7,2027-08,1,2027-08,0.29,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.93,1.0,10,54,27.0,4,54,+100 slots per missed rare event (M UNDEMONSTRATED),6,225.0,22.5,20.0,2027-09,1,2027-09,0.29,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.956,0.93,4.5,71,35.5,3,71,+100 slots per missed rare event (M UNDEMONSTRATED),16,93.4,20.8,20.7,2026-10,1,2026-10,0.84,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.956,0.93,4.5,71,35.5,3,71,+100 slots per missed rare event (M UNDEMONSTRATED),16,83.3,18.5,20.0,2026-11,1,2026-11,0.84,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.956,0.93,4.5,71,35.5,3,71,+100 slots per missed rare event (M UNDEMONSTRATED),16,55.1,12.2,20.7,2026-12,2,2027-01,0.84,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.956,0.93,4.5,71,35.5,3,71,+100 slots per missed rare event (M UNDEMONSTRATED),16,47.3,10.5,20.7,2027-01,2,2027-02,0.84,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.956,0.93,4.5,71,35.5,3,71,+100 slots per missed rare event (M UNDEMONSTRATED),16,59.2,13.2,18.7,2027-02,2,2027-03,0.84,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.956,0.93,4.5,71,35.5,3,71,+100 slots per missed rare event (M UNDEMONSTRATED),16,41.6,9.2,20.7,2027-03,2,2027-04,0.84,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.956,0.93,4.5,71,35.5,3,71,+100 slots per missed rare event (M UNDEMONSTRATED),16,94.5,21.0,20.0,2027-04,1,2027-04,0.84,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.956,0.93,4.5,71,35.5,3,71,+100 slots per missed rare event (M UNDEMONSTRATED),16,103.5,23.0,20.7,2027-05,1,2027-05,0.84,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.956,0.93,4.5,71,35.5,3,71,+100 slots per missed rare event (M UNDEMONSTRATED),16,113.6,25.2,20.0,2027-06,1,2027-06,0.84,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.956,0.93,4.5,71,35.5,3,71,+100 slots per missed rare event (M UNDEMONSTRATED),16,115.9,25.7,20.7,2027-07,1,2027-07,0.84,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.956,0.93,4.5,71,35.5,3,71,+100 slots per missed rare event (M UNDEMONSTRATED),16,104.6,23.2,20.7,2027-08,1,2027-08,0.84,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.956,0.93,4.5,71,35.5,3,71,+100 slots per missed rare event (M UNDEMONSTRATED),16,101.2,22.5,20.0,2027-09,1,2027-09,0.84,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.956,0.93,4.5,57,28.5,3,57,+100 slots per missed rare event (M UNDEMONSTRATED),13,93.4,20.8,20.7,2026-10,1,2026-10,0.67,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.956,0.93,4.5,57,28.5,3,57,+100 slots per missed rare event (M UNDEMONSTRATED),13,83.3,18.5,20.0,2026-11,1,2026-11,0.67,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.956,0.93,4.5,57,28.5,3,57,+100 slots per missed rare event (M UNDEMONSTRATED),13,55.1,12.2,20.7,2026-12,2,2027-01,0.67,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.956,0.93,4.5,57,28.5,3,57,+100 slots per missed rare event (M UNDEMONSTRATED),13,47.3,10.5,20.7,2027-01,2,2027-02,0.67,capacity
